batter,match_id,date,match_format,batting_team,bowling_team,venue,runs_scored,balls_faced,boundaries,batting_position,career_runs_avg,career_balls_faced,career_total_runs,career_strike_rate,career_matches,ema_form,recent_form_5,form_momentum,consistency,scored_50,career_50_rate,career_boundary_rate,quick_out,career_quick_out_rate,venue_avg_runs,is_t20,is_odi,opp_attack_hist_runs,opp_attack_hist_balls,opp_attack_hist_dismiss,opp_attack_hist_sr
Anamul Haque,1388412,2023-09-15,ODI,Bangladesh,India,"R Premadasa Stadium, Colombo",4,13,1,3,25.666666666666668,224.0,154.0,68.75,6,15.662403057286728,15.4,-10.85127996450583,0.46692405811976684,0,0.16666666666666666,0.08928571428571429,0,0.3333333333333333,0.0,0,1,10.0,17.0,0.0,58.82352941176471
Aniket Verma,1473505,2025-05-25,IPL,Sunrisers Hyderabad,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",12,6,2,5,20.363636363636363,142.0,224.0,157.74647887323943,11,15.890716303003552,13.0,-1.5324897849557182,0.5084141595537777,0,0.09090909090909091,0.2112676056338028,0,0.36363636363636365,0.0,1,0,0.0,0.0,0.0,0.0
Anirudh Singh,419164,2010-04-24,IPL,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,40,42,5,2,7.666666666666667,27.0,23.0,85.18518518518519,3,7.242009132420091,7.666666666666667,-0.3626779124934103,0.5193773284574534,0,0.0,0.07407407407407407,0,0.3333333333333333,14.0,1,0,0.0,0.0,0.0,0.0
Ankit Sharma,1082603,2017-04-14,IPL,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket Association Stadium,25,16,3,7,6.888888888888889,53.0,62.0,116.98113207547169,9,5.535724485341758,8.8,-2.019684962816658,0.41175155309986905,0,0.0,0.1509433962264151,0,0.7777777777777778,0.0,1,0,1.0,3.0,0.0,33.33333333333333
Ankit Soni,1082643,2017-05-13,IPL,Gujarat Lions,Sunrisers Hyderabad,Green Park,0,6,0,9,3.5,3.0,7.0,233.33333333333334,2,2.8823529411764706,3.5,-0.9824561403508771,0.03225806451612903,0,0.0,0.3333333333333333,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
Anmolpreet Singh,1426288,2024-05-02,IPL,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5,6,1,3,16.75,111.0,134.0,120.72072072072073,8,13.68956969040836,21.0,-7.294260301311461,0.5360211248823539,0,0.0,0.1891891891891892,1,0.5,36.0,1,0,23.0,15.0,0.0,153.33333333333334
Anshuman Rath,1153246,2018-09-18,ODI,Hong Kong,India,Dubai International Cricket Stadium,73,98,5,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,1,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Anuj Rawat,1426268,2024-04-15,IPL,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",25,15,5,8,14.65,261.0,293.0,112.26053639846742,20,14.543044845712831,19.2,-3.1511703470197787,0.544447835402143,0,0.05,0.13409961685823754,0,0.45,12.6,1,0,0.0,1.0,0.0,0.0
Anureet Singh,1136609,2018-05-15,IPL,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,3,4,0,11,4.714285714285714,43.0,33.0,76.74418604651163,7,6.970337244537843,6.6,3.506993582407402,0.4304633580115998,0,0.0,0.06976744186046512,1,0.7142857142857143,0.0,1,0,0.0,0.0,0.0,0.0
Arafat Sunny,870735,2015-06-24,ODI,Bangladesh,India,Shere Bangla National Stadium,14,40,1,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Arjun Tendulkar,1359509,2023-04-25,IPL,Mumbai Indians,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",13,9,1,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,0.0
Arshad Khan,1473504,2025-05-25,IPL,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",20,16,3,9,11.0,74.0,99.0,133.7837837837838,9,6.447461658932115,12.2,-6.8284316692872284,0.365865713873459,0,0.1111111111111111,0.14864864864864866,0,0.6666666666666666,1.0,1,0,0.0,1.0,1.0,0.0
Arshad Khan (2),1426266,2024-04-14,IPL,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",5,4,1,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
Arshdeep Singh,1512761,2026-02-22,T20,India,South Africa,"Narendra Modi Stadium, Ahmedabad",1,2,0,8,3.44,86.0,86.0,100.0,25,2.688279789673712,3.2,-0.6407025918739593,0.5218537491447777,0,0.0,0.13953488372093023,1,0.92,1.5,1,0,5.0,6.0,0.0,83.33333333333334
Asad Shafiq,578623,2013-06-15,ODI,Pakistan,India,Edgbaston,41,57,3,4,30.0,39.0,30.0,76.92307692307693,1,30.0,30.0,0.0,0.03225806451612903,0,0.0,0.05128205128205128,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Ashutosh Sharma,1473501,2025-05-21,IPL,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",18,16,2,7,22.058823529411764,240.0,375.0,156.25,17,22.183150095912506,20.4,4.837001978742947,0.4910045127819086,0,0.11764705882352941,0.20833333333333334,0,0.4117647058823529,0.0,1,0,31.0,25.0,2.0,124.0
Asif Ali,1298150,2022-10-23,T20,Pakistan,India,Melbourne Cricket Ground,2,3,0,8,12.5,18.0,25.0,138.88888888888889,2,13.11764705882353,12.5,0.9824561403508749,0.03225806451612903,0,0.0,0.16666666666666666,1,0.5,0.0,1,0,7.0,5.0,1.0,140.0
Asif Khan,1496921,2025-09-10,T20,United Arab Emirates,India,Dubai International Cricket Stadium,2,7,0,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
Asim Kamal,64083,2004-04-13,Test,Pakistan,India,Rawalpindi Cricket Stadium,81,139,17,7,81.0,139.0,81.0,58.27338129496403,1,81.0,81.0,0.0,0.03225806451612903,1,1.0,0.1223021582733813,0,0.0,81.0,0,0,0.0,0.0,0.0,0.0
Atharva Taide,1473499,2025-05-19,IPL,Sunrisers Hyderabad,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",13,11,3,2,27.444444444444443,177.0,247.0,139.54802259887003,9,32.083742183148075,29.6,4.956009474267763,0.5412056981623726,0,0.2222222222222222,0.1977401129943503,0,0.2222222222222222,0.0,1,0,0.0,0.0,0.0,0.0
Avesh Khan,1473491,2025-05-04,IPL,Lucknow Super Giants,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",19,10,4,8,3.5833333333333335,29.0,43.0,148.27586206896552,12,1.7746745490882347,2.4,-2.0100457749031273,0.4591150175452523,0,0.0,0.20689655172413793,0,0.9166666666666666,0.0,1,0,6.0,1.0,0.0,600.0
