venue,is_t20,is_odi,v_pp_runs,v_pp_wkts,v_pp_rr,v_mo_runs,v_mo_wkts,v_mo_rr,v_do_runs,v_do_wkts,v_do_rr,v_boundary_pct,v_dot_pct
Stadium Australia,1,0,165.0,3.0,8.91891891891892,231.0,3.0,8.399999999999999,117.0,6.0,7.800000000000001,0.42105263157894735,0.3524590163934426
Subrata Roy Sahara Stadium,1,0,46.05882352941177,1.2352941176470589,6.504447648410497,70.0,2.6470588235294117,6.831980775591323,52.294117647058826,2.0,9.227443074003796,0.43257354162076767,0.37940508560168384
SuperSport Park,0,0,25.0,1.0,2.0833333333333335,38.0,2.0,2.079365079365079,408.0,17.0,3.74982703749827,0.580684811237928,0.7813774632660082
SuperSport Park,0,1,52.0,0.8,4.263916548127074,61.6,4.0,3.3488167388167382,316.0,14.0,5.01996807603188,0.42936847206724194,0.5562931494674
SuperSport Park,1,0,48.61538461538461,2.5384615384615383,6.615504887747408,79.53846153846153,2.076923076923077,7.311334279755333,58.15384615384615,2.1538461538461537,9.667842064639977,0.4708788111693314,0.42287085335730945
"SuperSport Park, Centurion",0,0,26.0,1.0,2.1666666666666665,58.0,2.0,3.1969696969696972,488.0,17.0,3.4584156392616308,0.5956187979779068,0.7737304287081049
"SuperSport Park, Centurion",0,1,60.0,2.0,4.536357786357787,52.666666666666664,4.0,2.8718374218374216,250.0,12.0,3.815688076259127,0.35416956863532206,0.6606124294976888
"SuperSport Park, Centurion",1,0,210.0,3.0,11.052631578947368,252.0,9.0,8.542372881355933,195.0,6.0,10.833333333333334,0.5114155251141552,0.39097744360902253
Sydney Cricket Ground,0,0,28.0,2.0,2.2514619883040936,57.333333333333336,2.0,3.185185185185185,474.0,16.0,3.3464961250078757,0.4768095722287031,0.7659246607799016
Sydney Cricket Ground,0,1,62.36363636363637,1.6363636363636365,5.023772576404156,105.27272727272727,1.6363636363636365,5.693553788051395,452.0,9.818181818181818,6.360528390911996,0.3926157612934297,0.4640565818607362
Sydney Cricket Ground,1,0,148.8,2.4,7.858890469416785,230.4,6.0,8.091307657859382,172.8,5.4,11.152983870967741,0.46213686781408525,0.32406030892479903
The Rose Bowl,0,0,28.0,1.0,2.310810810810811,42.0,2.0,2.333333333333333,745.0,14.0,3.526529061668988,0.4481975223970166,0.7590209587160807
The Rose Bowl,0,1,46.5,1.5,3.7828947368421053,96.5,1.5,5.279617604617605,353.0,8.5,6.683865156672668,0.35919688198748123,0.4690323926077384
"The Rose Bowl, Southampton",0,0,32.0,0.0,2.6666666666666665,58.0,0.0,3.2222222222222223,344.0,20.0,2.2193548387096773,0.4423963133640553,0.8378378378378378
