venue,is_t20,is_odi,venue_avg_first_innings
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,246.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,1,349.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0,197.4
Rangiri Dambulla International Stadium,0,1,208.71428571428572
Rawalpindi Cricket Stadium,0,0,224.0
Rawalpindi Cricket Stadium,0,1,297.0
Reliance Stadium,0,1,227.0
"Sabina Park, Jamaica",0,0,416.0
"Sabina Park, Kingston",0,0,223.0
"Sabina Park, Kingston",0,1,251.14285714285714
"Sabina Park, Kingston",1,0,190.0
"Sardar Patel (Gujarat) Stadium, Motera",0,1,300.0
Sardar Patel Stadium,0,0,398.0
"Sardar Patel Stadium, Motera",0,0,298.5
"Sardar Patel Stadium, Motera",0,1,276.4
"Sardar Patel Stadium, Motera",1,0,163.25
Saurashtra Cricket Association Stadium,0,0,649.0
Saurashtra Cricket Association Stadium,0,1,311.6666666666667
Saurashtra Cricket Association Stadium,1,0,173.83333333333334
"Saurashtra Cricket Association Stadium, Rajkot",0,0,445.0
"Saurashtra Cricket Association Stadium, Rajkot",0,1,352.0
"Saurashtra Cricket Association Stadium, Rajkot",1,0,189.33333333333334
Sawai Mansingh Stadium,0,1,269.2
Sawai Mansingh Stadium,1,0,157.68085106382978
"Sawai Mansingh Stadium, Jaipur",1,0,185.94444444444446
Sector 16 Stadium,0,1,291.0
Seddon Park,0,0,279.0
Seddon Park,0,1,252.83333333333334
Seddon Park,1,0,212.0
Shaheed Veer Narayan Singh International Stadium,1,0,146.33333333333334
"Shaheed Veer Narayan Singh International Stadium, Raipur",0,1,233.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",1,0,191.0
Sharjah Cricket Stadium,1,0,159.03571428571428
Sheikh Zayed Stadium,0,1,233.0
Sheikh Zayed Stadium,1,0,158.96296296296296
Shere Bangla National Stadium,0,0,233.0
Shere Bangla National Stadium,0,1,270.95
Shere Bangla National Stadium,1,0,131.45454545454547
"Shere Bangla National Stadium, Mirpur",0,0,418.5
"Shere Bangla National Stadium, Mirpur",0,1,228.5
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",1,0,127.0
Sinhalese Sports Club Ground,0,0,511.3333333333333
"Sir Vivian Richards Stadium, Antigua",0,0,297.0
"Sir Vivian Richards Stadium, North Sound",0,0,566.0
"Sir Vivian Richards Stadium, North Sound",0,1,228.5
"Sir Vivian Richards Stadium, North Sound, Antigua",1,0,196.0
Sophia Gardens,0,1,280.0
Sophia Gardens,1,0,148.0
St George's Park,0,1,260.6666666666667
St George's Park,1,0,159.0
"St George's Park, Gqeberha",0,1,211.0
"St George's Park, Gqeberha",1,0,152.0
Stadium Australia,1,0,171.0
Subrata Roy Sahara Stadium,1,0,149.88235294117646
SuperSport Park,0,0,235.5
SuperSport Park,0,1,214.8
